system,dataset,label,slots,k,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,lotte,h1,1,100,3,3,0.961127,0.000020,0.963675,0.000020,0.961127,0.000020,302.917333,9.824606,3.303000,0.109503,3.259000,3.484000,3.565333,5.734667,12.031333,0.475000,,,,5.136177,0.050090,0.073532,0.098855,3.632482,0.459892
chimera,lotte,i1,1,100,3,3,0.962893,0.000012,0.963880,0.000020,0.962893,0.000012,256.973000,4.572335,3.892000,0.068440,3.834667,4.096667,4.188333,6.665333,13.749667,0.621333,,,,5.019993,0.025325,0.034443,0.034269,2.305778,0.367839
chimera,lotte,j1,1,100,3,3,0.964154,0.000004,0.964017,0.000020,0.964154,0.000004,220.923333,1.925463,4.526333,0.039552,4.499667,4.772000,4.857667,5.497667,12.715667,0.473333,9289.380000,0.000000,9289.380000,1.977711,0.009452,0.007000,0.009609,0.830539,0.235375
chimera,msmarco,a1,1,100,3,3,0.746704,0.000026,0.940225,0.000017,0.746704,0.000026,676.035000,6.617383,1.479333,0.014224,1.471000,1.552333,1.580667,1.660333,6.641333,0.140667,,,,0.373045,0.012166,0.018717,0.021572,0.026312,0.012583
chimera,msmarco,a2,1,100,3,3,0.817292,0.000037,0.951032,0.000015,0.817292,0.000037,642.315333,6.789629,1.556667,0.016623,1.547000,1.649667,1.685667,1.765333,9.515000,0.188000,,,,1.781600,0.013748,0.027502,0.028006,0.044736,0.094462
chimera,msmarco,a3,1,100,3,3,0.852690,0.000006,0.952359,0.000008,0.852690,0.000006,646.718333,6.487834,1.546000,0.015588,1.537000,1.639000,1.673000,1.760000,7.576667,0.184667,,,,0.450014,0.009539,0.011136,0.013229,0.035679,0.022811
chimera,msmarco,a4,1,100,3,3,0.776068,0.000007,0.953959,0.000008,0.776068,0.000007,614.729667,15.137704,1.627000,0.039230,1.611667,1.747000,1.788000,1.901333,9.681667,0.250333,,,,3.028162,0.029501,0.046872,0.051391,0.085979,0.129516
chimera,msmarco,b1,1,100,3,3,0.845175,0.000002,0.960115,0.000015,0.845175,0.000002,542.681333,7.285245,1.842667,0.024947,1.825667,1.970000,2.016667,2.138333,8.570667,0.205667,,,,2.471617,0.021221,0.023580,0.023352,0.046490,0.030746
chimera,msmarco,b2,1,100,3,3,0.890315,0.000019,0.961886,0.000008,0.890315,0.000019,543.769667,8.935222,1.839333,0.030436,1.824333,1.961667,2.008333,2.119333,9.492333,0.233667,,,,2.651331,0.028361,0.026388,0.027538,0.041501,0.117014
chimera,msmarco,b3,1,100,3,3,0.892650,0.000029,0.962626,0.000022,0.892650,0.000029,491.779333,1.011794,2.033333,0.004041,2.015333,2.182333,2.241333,2.388000,7.399667,0.204667,,,,0.635358,0.004041,0.005686,0.002517,0.023643,0.025325
