system,dataset,topk,recall,qps,label,source
Chimera,lotte,100,0.957342,321.224,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.958427,304.561,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.961102,269.186,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.962893,230.867,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.964142,201.426,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera+,lotte,100,0.781955,622.679,a3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.843664,580.324,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.853367,556.481,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.885377,523.154,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.910972,489.385,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.927202,454.711,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.936111,435.816,e2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.938018,424.394,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.943565,415.691,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.950686,359.906,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.953043,350.671,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.957308,323.594,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.958414,302.334,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.961095,274.808,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
Chimera+,lotte,100,0.96289,235.851,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/lotte/gpu_search_v7/benchmark_results_20260422T220657Z_job55871927.csv
CPU,hotpot,100,0.77616,226.486,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.82329,206.503,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.84493,169.469333,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.87744,146.772333,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.88286,130.860667,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.90971,114.853333,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.91021,108.48,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.93111,97.573,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.93818,93.622,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,hotpot,100,0.94793,78.268,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera,hotpot,100,0.77674,384.347,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.82088,384.255,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.84062,337.856,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.8697,331.838,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.87312,289.792,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.89591,273.708,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.91391,252.708,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
